 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1679.0,25.103,19.953,0,114,198.309,0.537,66.098,42148.000,20,7.069,100,42148.000,480,63,72.387,40.000,1.889,0.529,0.831
2,736,27.272,22.710,1,115,109.296,0.774,36.139,20072.000,20,4.127,100,20072.000,516,45,14.421,29.128,1.254,0.798,0.901
3,305,25.672,21.401,0,115,68.426,0.819,25.298,7830.000,22,4.634,100,7830.000,94,32,161.565,18.000,1.231,0.812,0.915
4,1479,22.747,21.525,0,114,157.823,0.746,55.073,33643.000,17,6.684,100,33643.000,241,79,60.642,38.831,1.406,0.711,0.924
5,1500,24.042,21.562,0,115,178.995,0.588,63.632,36063.000,17,6.331,100,36063.000,319,31,120.192,35.938,1.936,0.517,0.861
6,6,99.833,17.348,66,114,9.071,0.916,4.472,599.000,104,0.621,100,599.000,34,40,153.435,2.000,2.082,0.480,0.857
7,807,30.590,23.312,0,115,126.610,0.633,40.804,24686.000,23,3.140,100,24686.000,368,43,107.103,31.052,1.378,0.726,0.856
8,296,31.203,29.071,0,115,72.083,0.716,25.298,9236.000,21,1.262,100,9236.000,560,80,161.565,17.220,1.410,0.709,0.889
9,3,102.000,3.606,99,106,8.485,0.524,3.162,306.000,101,-1.500,100,306.000,359,85,108.435,2.000,1.567,0.638,0.600
10,5,83.200,16.498,59,101,7.657,1.000,3.606,416.000,88,-1.070,100,416.000,91,93,123.690,2.000,1.553,0.644,0.909
11,9,98.222,11.692,79,113,11.657,0.832,5.385,884.000,98,-1.099,100,884.000,424,109,68.199,2.000,2.386,0.419,0.947
12,200,31.075,26.093,0,106,59.941,0.700,23.324,6215.000,24,0.363,100,6215.000,237,136,59.036,14.758,1.612,0.620,0.853
13,811,26.451,24.555,0,115,132.752,0.578,43.417,21452.000,18,3.122,100,21452.000,43,148,7.943,33.035,1.228,0.815,0.808
14,81,33.889,26.529,2,107,33.213,0.923,12.649,2745.000,31,0.703,100,2745.000,141,148,18.435,9.000,1.307,0.765,0.900
15,936,35.256,27.339,1,115,176.066,0.379,49.820,33000.000,24,0.612,100,33000.000,143,162,10.408,34.962,1.222,0.818,0.719
16,1467,19.132,19.999,0,115,151.095,0.807,48.083,28066.000,13,9.262,100,28066.000,537,196,73.072,43.128,1.040,0.962,0.926
17,441,25.540,24.287,1,115,85.640,0.756,28.443,11263.000,19,3.508,100,11263.000,308,150,100.125,24.748,1.165,0.858,0.897
18,1547,28.118,25.376,0,115,216.250,0.416,62.097,43499.000,20,2.259,100,43499.000,490,166,104.931,48.478,1.416,0.706,0.751
19,337,29.424,26.531,0,115,82.669,0.620,28.601,9916.000,21,1.834,100,9916.000,77,169,143.531,17.650,1.548,0.646,0.885
20,88,30.273,29.048,0,113,34.971,0.904,12.207,2664.000,27,1.147,100,2664.000,128,182,145.008,10.000,1.036,0.965,0.917
21,26,60.654,29.861,12,111,21.556,0.703,9.487,1577.000,67,-1.090,100,1577.000,460,200,161.565,5.000,2.131,0.469,0.788
22,573,25.871,21.817,0,114,92.326,0.845,32.016,14824.000,21,5.151,100,14824.000,575,231,38.660,25.614,1.261,0.793,0.937
23,3,79.667,37.314,38,110,6.828,0.809,3.162,239.000,91,-1.500,100,239.000,639,215,108.435,1.000,3.000,0.333,1.000
24,1682,18.920,21.109,0,115,172.551,0.710,60.828,31824.000,12,8.019,100,31824.000,381,272,62.592,38.891,1.606,0.623,0.919
25,1,98.000,0.000,98,98,2.828,1.000,1.414,98.000,98,NaN,100,98.000,449,219,135.000,1.000,1.000,1.000,1.000
26,187,25.663,28.930,0,114,59.113,0.672,21.932,4799.000,17,2.295,100,4799.000,625,221,133.152,15.949,1.319,0.758,0.890
27,1165,25.319,21.478,0,115,164.995,0.538,51.478,29497.000,21,4.672,100,29497.000,245,245,172.185,36.391,1.422,0.703,0.818
28,7,98.286,17.651,66,111,10.485,0.800,4.472,688.000,106,-0.508,100,688.000,543,249,116.565,2.828,1.668,0.600,0.778
29,7,81.429,23.593,50,109,9.899,0.898,4.472,570.000,84,-1.292,100,570.000,327,263,153.435,2.828,1.668,0.600,0.778
30,582,25.971,24.287,0,115,116.610,0.538,36.497,15115.000,20,3.634,100,15115.000,289,309,170.538,28.783,1.277,0.783,0.788
31,50,44.520,33.896,2,114,26.627,0.886,9.849,2226.000,39,-0.935,100,2226.000,387,295,23.962,7.778,1.252,0.798,0.847
32,166,31.060,27.895,0,115,52.426,0.759,18.868,5156.000,27,1.385,100,5156.000,486,290,122.005,12.728,1.469,0.681,0.878
33,8,88.375,16.707,68,114,9.657,1.000,4.472,707.000,91,-1.361,100,707.000,428,310,153.435,2.000,2.000,0.500,1.000
34,411,26.745,24.037,0,114,77.740,0.855,28.460,10992.000,22,3.759,100,10992.000,165,332,18.435,20.871,1.368,0.731,0.918
35,217,33.650,31.274,1,112,61.941,0.711,24.083,7302.000,24,0.182,100,7302.000,347,327,131.634,15.652,1.541,0.649,0.866
36,326,30.991,25.491,1,115,72.426,0.781,26.249,10103.000,27,2.205,100,10103.000,432,357,72.255,19.435,1.397,0.716,0.906
37,73,42.260,32.256,1,115,32.042,0.894,12.649,3085.000,36,-0.404,100,3085.000,48,350,161.565,9.000,1.303,0.768,0.880
38,10,93.100,22.373,43,112,12.485,0.806,5.000,931.000,107,0.394,100,931.000,449,373,36.870,4.000,1.137,0.880,0.800
39,25,76.760,28.941,28,114,20.971,0.714,8.062,1919.000,82,-1.115,100,1919.000,232,376,119.745,5.657,1.488,0.672,0.794
40,109,41.266,28.979,2,111,43.698,0.717,15.811,4498.000,35,-0.583,100,4498.000,387,397,145.305,11.200,1.534,0.652,0.820
41,535,28.148,22.025,1,115,93.640,0.767,31.623,15059.000,22,3.847,100,15059.000,519,403,108.435,26.298,1.159,0.863,0.892
42,92,42.848,29.244,3,112,37.213,0.835,15.811,3942.000,36,-0.530,100,3942.000,562,410,124.695,9.058,1.764,0.567,0.911
43,376,40.391,23.835,4,114,74.083,0.861,26.476,15187.000,33,1.863,100,15187.000,70,421,169.114,20.592,1.231,0.812,0.920
44,645,28.256,23.096,0,115,100.326,0.805,36.620,18225.000,22,4.040,100,18225.000,605,416,124.992,25.491,1.328,0.753,0.928
45,151,37.974,27.550,1,112,48.870,0.795,18.385,5734.000,32,0.333,100,5734.000,263,434,67.620,12.333,1.481,0.675,0.896
46,142,38.838,33.077,1,115,59.598,0.502,18.601,5515.000,29,-0.460,100,5515.000,330,418,143.746,14.562,1.250,0.800,0.734
47,1110,28.458,21.973,1,115,147.924,0.637,53.814,31588.000,21,4.560,100,31588.000,482,476,41.987,28.840,2.131,0.469,0.876
48,14,86.000,24.810,33,115,15.314,0.750,5.831,1204.000,93,-0.355,100,1204.000,62,440,120.964,4.000,1.324,0.755,0.824
49,1,114.000,0.000,114,114,2.828,1.000,1.414,114.000,114,NaN,100,114.000,536,446,135.000,1.000,1.000,1.000,1.000
50,2,97.500,12.021,89,106,5.657,0.785,2.828,195.000,106,-2.000,100,195.000,118,457,45.000,1.414,2.646,0.378,0.667
51,44,56.500,32.388,3,110,23.556,0.996,8.944,2486.000,56,-1.207,100,2486.000,566,456,116.565,7.000,1.172,0.853,0.907
52,408,35.282,20.306,5,114,83.698,0.732,31.385,14395.000,29,4.266,100,14395.000,181,468,157.521,17.000,1.787,0.560,0.952
53,422,25.789,20.439,1,114,91.941,0.627,37.855,10883.000,21,6.599,100,10883.000,603,472,167.800,15.000,2.590,0.386,0.952
