 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1020.0,31.394,21.826,2,104,222.451,0.259,72.180,32022,26,1.737,100,32022,370,70,169.624,27.577,2.599,0.385,0.694
2,703,27.279,20.000,2,103,109.539,0.736,35.468,19177,21,3.778,100,19177,499,95,21.501,29.698,1.172,0.853,0.887
3,1532,24.303,15.208,2,104,165.196,0.705,63.411,37232,21,10.095,100,37232,458,152,37.954,33.386,1.975,0.506,0.923
4,45,38.311,24.751,6,101,24.971,0.907,9.849,1724,31,0.782,100,1724,265,123,156.038,7.000,1.307,0.765,0.891
5,956,19.385,16.697,0,104,127.539,0.739,47.381,18532,15,9.269,100,18532,293,165,7.275,29.615,1.561,0.641,0.925
6,530,24.342,18.997,1,103,93.255,0.766,32.450,12901,19,6.045,100,12901,152,197,33.690,23.980,1.264,0.791,0.907
7,2,99.500,3.536,97,102,4.243,1.000,2.236,199,102,-2.000,100,199,147,195,153.435,1.000,2.000,0.500,1.000
8,807,19.803,18.614,0,104,115.983,0.754,43.267,15981,14,7.109,100,15981,278,288,33.690,29.698,1.438,0.695,0.923
9,1488,25.710,15.499,2,104,155.581,0.773,53.235,38257,22,10.120,100,38257,406,394,174.611,42.144,1.183,0.845,0.921
10,14,62.786,24.398,28,97,14.142,0.880,5.385,879,63,-1.328,100,879,326,399,21.801,4.243,1.268,0.788,0.778
11,877,26.065,16.604,2,103,123.640,0.721,46.098,22859,22,7.018,100,22859,97,461,12.529,27.488,1.653,0.605,0.916
