 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,101.0,148.099,6.177,141,177,45.698,0.608,17.029,14958.000,148,4.290,100,14958.000,10,0,130.236,10.883,1.737,0.576,0.815
2,14,145.500,5.667,141,161,18.142,0.535,6.403,2037.000,144,1.914,100,2037.000,603,0,128.660,4.472,1.598,0.626,0.700
3,1,141.000,0.000,141,141,2.828,1.000,1.414,141.000,141,NaN,100,141.000,607,0,135.000,1.000,1.000,1.000,1.000
4,1,141.000,0.000,141,141,2.828,1.000,1.414,141.000,141,NaN,100,141.000,608,12,135.000,1.000,1.000,1.000,1.000
5,3,145.333,6.658,141,153,7.657,0.643,3.606,436.000,142,-1.500,100,436.000,22,13,123.690,1.789,2.702,0.370,0.667
6,4,148.250,3.304,144,152,11.314,0.393,4.243,593.000,149,-1.045,100,593.000,96,14,135.000,2.828,1.537,0.650,0.571
7,1,146.000,0.000,146,146,2.828,1.000,1.414,146.000,146,NaN,100,146.000,159,15,135.000,1.000,1.000,1.000,1.000
8,1,142.000,0.000,142,142,2.828,1.000,1.414,142.000,142,NaN,100,142.000,617,15,135.000,1.000,1.000,1.000,1.000
9,1,141.000,0.000,141,141,2.828,1.000,1.414,141.000,141,NaN,100,141.000,99,19,135.000,1.000,1.000,1.000,1.000
10,4,146.250,2.754,143,149,8.485,0.698,3.162,585.000,148,-1.604,100,585.000,556,22,108.435,2.828,1.000,1.000,0.571
11,62,156.242,11.387,141,185,35.556,0.616,15.033,9687.000,154,-0.480,100,9687.000,0,23,93.814,6.000,2.592,0.386,0.886
12,86,146.012,4.936,141,169,48.184,0.465,18.385,12557.000,144,5.124,100,12557.000,11,26,157.620,7.990,2.632,0.380,0.735
13,1,142.000,0.000,142,142,2.828,1.000,1.414,142.000,142,NaN,100,142.000,341,23,135.000,1.000,1.000,1.000,1.000
14,60,149.167,6.867,141,173,34.627,0.629,10.817,8950.000,148,1.611,100,8950.000,178,24,123.690,9.839,1.105,0.905,0.789
15,2,154.500,12.021,146,163,4.243,1.000,2.236,309.000,163,-2.000,100,309.000,550,24,153.435,1.000,2.000,0.500,1.000
16,57,162.930,22.211,141,219,47.941,0.312,15.297,9287.000,155,0.176,100,9287.000,459,32,11.310,8.825,2.269,0.441,0.594
17,2,144.000,1.414,143,145,5.657,0.785,2.828,288.000,145,-2.000,100,288.000,160,26,135.000,1.414,2.646,0.378,0.667
18,1,141.000,0.000,141,141,2.828,1.000,1.414,141.000,141,NaN,100,141.000,143,29,135.000,1.000,1.000,1.000,1.000
19,1,146.000,0.000,146,146,2.828,1.000,1.414,146.000,146,NaN,100,146.000,475,29,135.000,1.000,1.000,1.000,1.000
20,67,148.149,4.940,141,161,33.213,0.763,13.038,9926.000,148,-0.794,100,9926.000,33,33,122.471,8.746,1.469,0.681,0.882
21,9,147.889,6.547,142,160,11.899,0.799,5.385,1331.000,144,-0.899,100,1331.000,186,33,158.199,3.000,1.975,0.506,0.720
22,1,143.000,0.000,143,143,2.828,1.000,1.414,143.000,143,NaN,100,143.000,9,37,135.000,1.000,1.000,1.000,1.000
23,13,144.308,4.131,141,153,14.142,0.817,5.831,1876.000,143,0.661,100,1876.000,185,37,120.964,4.243,1.530,0.653,0.703
24,26,155.692,9.801,141,174,17.899,1.000,7.211,4048.000,155,-0.938,100,4048.000,4,43,33.690,5.000,1.283,0.779,0.929
25,1,141.000,0.000,141,141,2.828,1.000,1.414,141.000,141,NaN,100,141.000,0,40,135.000,1.000,1.000,1.000,1.000
26,6,146.167,5.115,141,153,7.657,1.000,3.606,877.000,145,-1.466,100,877.000,86,40,146.310,2.000,1.500,0.667,1.000
27,13,154.000,13.248,141,185,13.314,0.922,6.403,2002.000,149,0.159,100,2002.000,146,43,141.340,3.479,2.033,0.492,0.812
28,9,141.556,0.726,141,143,13.314,0.638,5.385,1274.000,141,-0.503,100,1274.000,32,45,158.199,3.000,1.986,0.504,0.720
29,27,149.778,7.192,141,171,25.799,0.510,10.198,4044.000,148,1.650,100,4044.000,108,57,78.690,4.851,2.407,0.416,0.720
30,205,155.410,14.413,141,209,72.083,0.496,23.195,31859.000,150,1.434,100,31859.000,163,70,82.569,15.205,1.654,0.605,0.751
31,88,158.398,16.960,141,215,51.941,0.410,17.464,13939.000,154,1.394,100,13939.000,124,49,103.241,9.545,1.962,0.510,0.746
32,98,158.592,15.008,141,207,43.355,0.655,14.318,15542.000,156,0.989,100,15542.000,6,57,12.095,12.000,1.081,0.925,0.807
33,101,162.535,15.653,141,207,48.870,0.531,18.439,16416.000,161,-0.214,100,16416.000,628,65,49.399,11.473,1.589,0.629,0.745
34,1,145.000,0.000,145,145,2.828,1.000,1.414,145.000,145,NaN,100,145.000,74,52,135.000,1.000,1.000,1.000,1.000
35,28,148.036,5.686,142,168,19.556,0.920,7.810,4145.000,148,3.878,100,4145.000,35,54,140.194,5.657,1.348,0.742,0.862
36,1,152.000,0.000,152,152,2.828,1.000,1.414,152.000,152,NaN,100,152.000,133,57,135.000,1.000,1.000,1.000,1.000
37,1,147.000,0.000,147,147,2.828,1.000,1.414,147.000,147,NaN,100,147.000,73,59,135.000,1.000,1.000,1.000,1.000
38,36,147.250,6.276,141,174,25.799,0.680,9.220,5301.000,147,7.344,100,5301.000,143,63,167.471,6.708,1.239,0.807,0.791
39,15,150.867,7.671,141,166,16.142,0.723,6.325,2263.000,150,-0.863,100,2263.000,418,65,18.435,4.427,1.498,0.668,0.682
40,20,151.800,9.807,141,184,17.314,0.838,7.211,3036.000,152,3.803,100,3036.000,636,64,123.690,4.000,1.465,0.683,0.909
41,2,164.000,11.314,156,172,5.657,0.785,2.828,328.000,172,-2.000,100,328.000,92,68,135.000,1.414,2.646,0.378,0.667
42,1,149.000,0.000,149,149,2.828,1.000,1.414,149.000,149,NaN,100,149.000,402,68,135.000,1.000,1.000,1.000,1.000
43,5,167.000,7.314,160,177,7.657,1.000,3.606,835.000,165,-1.435,100,835.000,461,69,146.310,2.000,1.553,0.644,0.909
44,116,156.276,11.239,141,192,44.527,0.735,16.125,18128.000,156,0.709,100,18128.000,630,85,82.875,12.000,1.389,0.720,0.823
45,1,145.000,0.000,145,145,2.828,1.000,1.414,145.000,145,NaN,100,145.000,9,71,135.000,1.000,1.000,1.000,1.000
46,44,149.159,9.800,141,174,31.456,0.559,10.050,6563.000,145,0.710,100,6563.000,32,71,95.711,8.944,1.074,0.931,0.710
47,1,141.000,0.000,141,141,2.828,1.000,1.414,141.000,141,NaN,100,141.000,211,71,135.000,1.000,1.000,1.000,1.000
48,25,159.880,11.530,142,186,17.899,0.981,7.071,3997.000,160,-0.250,100,3997.000,51,80,45.000,5.000,1.080,0.926,0.909
49,34,153.676,11.235,141,186,24.385,0.719,10.000,5225.000,149,0.482,100,5225.000,241,80,143.130,6.000,1.831,0.546,0.747
50,2,147.500,4.950,144,151,5.657,0.785,2.828,295.000,151,-2.000,100,295.000,303,80,45.000,1.414,2.646,0.378,0.667
51,6,146.833,7.167,141,160,9.899,0.769,5.000,881.000,148,-0.061,100,881.000,92,79,143.130,2.121,2.810,0.356,0.750
