micros,adc0,adc1
20000000,5.0000000000,0.0000000000
30000000,5.0000000000,0.0342130994
40000000,5.0000000000,0.4789833545
50000000,5.0000000000,1.0117301940
60000000,5.0000000000,1.4809384346
70000000,5.0000000000,2.0332355499
80000000,5.0000000000,2.6735093593
90000000,5.0000000000,3.1427175998
100000000,5.0000000000,3.8074291229
110000000,4.9951124191,4.3108506202
120000000,5.0000000000,4.9217987060
130000000,5.0000000000,5.0000000000
