micros,adc0,adc1
20000000,5.0000000000,3.4897360801
30000000,5.0000000000,3.4897360801
40000000,5.0000000000,3.4897360801
50000000,5.0000000000,3.4897360801
60000000,5.0000000000,0.0000000000
70000000,5.0000000000,0.0000000000
80000000,5.0000000000,0.0000000000
90000000,5.0000000000,0.7135874748
100000000,5.0000000000,2.5904202461
110000000,5.0000000000,2.5904202461
120000000,5.0000000000,2.5855326652
130000000,5.0000000000,0.7282502651
140000000,5.0000000000,0.0000000000
150000000,5.0000000000,0.0000000000
