 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,6.0,120.167,2.639,117,123,11.071,0.615,5.099,721,122,-1.575,100,721,300,0,168.690,2.000,3.003,0.333,0.750
2,109,109.780,7.039,96,123,42.870,0.745,15.524,11966,109,-0.777,100,11966,223,9,14.931,11.000,1.380,0.725,0.865
3,4,114.750,6.238,108,121,5.657,1.000,2.828,459,119,-1.789,100,459,276,12,135.000,2.000,1.000,1.000,1.000
4,3,118.667,1.528,117,120,8.485,0.524,3.162,356,119,-1.500,100,356,26,14,161.565,2.000,1.567,0.638,0.600
5,37,97.351,21.771,45,122,22.385,0.928,8.544,3602,104,-0.369,100,3602,169,19,20.556,7.000,1.181,0.847,0.871
6,4,110.250,8.261,104,122,7.657,0.857,3.162,441,110,-0.963,100,441,294,16,108.435,2.000,1.468,0.681,0.800
7,3,118.333,2.082,116,120,8.485,0.524,4.243,355,119,-1.500,100,355,560,21,45.000,1.414,4.123,0.243,0.600
8,38,110.447,8.825,88,123,30.971,0.498,14.318,4197,109,-0.387,100,4197,272,26,24.775,4.919,3.950,0.253,0.745
9,1,123.000,0.000,123,123,2.828,1.000,1.414,123,123,NaN,100,123,0,22,135.000,1.000,1.000,1.000,1.000
10,5,117.000,4.950,109,122,10.243,0.599,5.099,585,119,-0.525,100,585,0,24,168.690,1.000,5.000,0.200,1.000
11,4,114.750,6.551,109,123,8.485,0.698,3.162,459,117,-1.489,100,459,181,25,108.435,2.828,1.000,1.000,0.571
12,1,119.000,0.000,119,119,2.828,1.000,1.414,119,119,NaN,100,119,539,27,135.000,1.000,1.000,1.000,1.000
13,1,103.000,0.000,103,103,2.828,1.000,1.414,103,103,NaN,100,103,260,28,135.000,1.000,1.000,1.000,1.000
14,5,99.000,11.895,89,119,8.485,0.873,3.162,495,98,-0.283,100,495,441,31,108.435,2.828,1.000,1.000,0.714
15,1,120.000,0.000,120,120,2.828,1.000,1.414,120,120,NaN,100,120,536,34,135.000,1.000,1.000,1.000,1.000
16,15,109.667,11.204,85,123,21.556,0.406,9.055,1645,112,-0.447,100,1645,315,39,173.660,3.000,3.291,0.304,0.625
17,14,107.357,12.641,78,122,16.728,0.629,7.071,1503,108,0.007,100,1503,344,40,171.870,3.000,2.148,0.466,0.778
18,4,118.750,3.403,116,123,11.314,0.393,5.657,475,120,-1.532,100,475,626,44,135.000,1.414,5.568,0.180,0.571
19,3,115.333,5.508,109,119,5.657,1.000,2.828,346,118,-1.500,100,346,44,47,45.000,2.000,1.464,0.683,0.857
20,1,119.000,0.000,119,119,2.828,1.000,1.414,119,119,NaN,100,119,392,46,135.000,1.000,1.000,1.000,1.000
21,1,123.000,0.000,123,123,2.828,1.000,1.414,123,123,NaN,100,123,42,48,135.000,1.000,1.000,1.000,1.000
22,1,123.000,0.000,123,123,2.828,1.000,1.414,123,123,NaN,100,123,3,49,135.000,1.000,1.000,1.000,1.000
23,1,117.000,0.000,117,117,2.828,1.000,1.414,117,117,NaN,100,117,512,50,135.000,1.000,1.000,1.000,1.000
24,1,119.000,0.000,119,119,2.828,1.000,1.414,119,119,NaN,100,119,105,51,135.000,1.000,1.000,1.000,1.000
25,4,110.750,9.605,97,119,7.071,1.000,3.162,443,115,-0.874,100,443,539,51,161.565,2.000,1.468,0.681,0.800
26,15,112.000,8.341,93,122,18.142,0.573,8.062,1680,113,-0.067,100,1680,114,59,60.255,3.795,2.560,0.391,0.750
27,8,106.000,14.081,76,121,10.485,0.914,4.472,848,111,0.661,100,848,368,52,116.565,3.000,1.308,0.764,0.800
28,5,116.800,6.058,110,123,10.485,0.572,4.472,584,116,-1.695,100,584,60,57,63.435,2.000,2.152,0.465,0.714
29,10,108.400,11.559,84,122,10.485,1.000,4.472,1084,113,-0.019,100,1084,298,54,153.435,3.000,1.384,0.723,0.909
30,8,116.000,6.094,106,122,16.142,0.386,6.708,928,119,-1.140,100,928,445,59,26.565,2.683,3.325,0.301,0.571
31,2,116.500,9.192,110,123,5.657,0.785,2.828,233,123,-2.000,100,233,226,61,45.000,1.414,2.646,0.378,0.667
32,1,120.000,0.000,120,120,2.828,1.000,1.414,120,120,NaN,100,120,205,65,135.000,1.000,1.000,1.000,1.000
33,2,111.500,2.121,110,113,5.657,0.785,2.828,223,113,-2.000,100,223,84,70,135.000,1.414,2.646,0.378,0.667
34,1,117.000,0.000,117,117,2.828,1.000,1.414,117,117,NaN,100,117,30,72,135.000,1.000,1.000,1.000,1.000
35,1,118.000,0.000,118,118,2.828,1.000,1.414,118,118,NaN,100,118,442,74,135.000,1.000,1.000,1.000,1.000
36,12,106.417,13.767,83,123,15.314,0.643,7.211,1277,106,-1.248,100,1277,76,80,33.690,3.051,3.035,0.330,0.750
37,1,108.000,0.000,108,108,2.828,1.000,1.414,108,108,NaN,100,108,552,80,135.000,1.000,1.000,1.000,1.000
38,1,123.000,0.000,123,123,2.828,1.000,1.414,123,123,NaN,100,123,551,83,135.000,1.000,1.000,1.000,1.000
39,1,108.000,0.000,108,108,2.828,1.000,1.414,108,108,NaN,100,108,191,85,135.000,1.000,1.000,1.000,1.000
40,124,101.395,12.383,67,123,46.770,0.712,18.111,12573,104,-0.149,100,12573,319,97,173.660,12.000,1.549,0.646,0.838
41,1,122.000,0.000,122,122,2.828,1.000,1.414,122,122,NaN,100,122,560,96,135.000,1.000,1.000,1.000,1.000
42,1,119.000,0.000,119,119,2.828,1.000,1.414,119,119,NaN,100,119,400,100,135.000,1.000,1.000,1.000,1.000
43,1,123.000,0.000,123,123,2.828,1.000,1.414,123,123,NaN,100,123,34,104,135.000,1.000,1.000,1.000,1.000
44,2,105.500,6.364,101,110,5.657,0.785,2.828,211,110,-2.000,100,211,446,104,135.000,1.414,2.646,0.378,0.667
45,1,122.000,0.000,122,122,2.828,1.000,1.414,122,122,NaN,100,122,408,106,135.000,1.000,1.000,1.000,1.000
46,3,107.000,13.528,94,121,8.485,0.524,3.162,321,106,-1.500,100,321,347,109,108.435,2.000,1.567,0.638,0.600
47,2,116.500,9.192,110,123,4.828,1.000,2.236,233,123,-2.000,100,233,406,109,116.565,1.000,2.000,0.500,1.000
48,24,94.625,18.086,58,120,18.142,0.916,7.616,2271,98,-1.081,100,2271,248,113,156.801,5.000,1.543,0.648,0.842
49,10,97.900,15.822,72,119,14.728,0.579,6.325,979,108,-1.284,100,979,89,116,18.435,3.000,2.213,0.452,0.714
50,2,118.000,7.071,113,123,5.657,0.785,2.828,236,123,-2.000,100,236,404,114,135.000,1.414,2.646,0.378,0.667
51,13,111.769,8.833,91,122,14.728,0.753,6.325,1453,113,0.294,100,1453,412,121,18.435,3.578,1.957,0.511,0.765
52,1,122.000,0.000,122,122,2.828,1.000,1.414,122,122,NaN,100,122,404,122,135.000,1.000,1.000,1.000,1.000
53,1,120.000,0.000,120,120,2.828,1.000,1.414,120,120,NaN,100,120,612,122,135.000,1.000,1.000,1.000,1.000
54,2,117.500,7.778,112,123,5.657,0.785,2.828,235,123,-2.000,100,235,573,123,135.000,1.414,2.646,0.378,0.667
55,4,123.000,0.000,123,123,8.485,0.698,3.606,492,123,NaN,100,492,616,125,123.690,2.000,1.637,0.611,0.727
56,3,118.333,5.033,113,123,8.485,0.524,3.162,355,119,-1.500,100,355,584,126,108.435,2.000,1.567,0.638,0.600
57,3,110.667,5.508,107,117,8.485,0.524,4.243,332,108,-1.500,100,332,179,130,45.000,1.414,4.123,0.243,0.600
