,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1.0,153,0,153,153,2.828,1.000,1.414,153,153,NaN,100,153,114,0,135,1,1.000,1.000,1.000
2,2,140,18.385,127,153,4.243,1.000,2.236,280,153,-2,100,280,136,0,153.435,1,2.000,0.500,1.000
3,15,128,17.796,101,153,15.314,0.804,6.708,1920,130,-1.355,100,1920,139,1,153.435,4,1.704,0.587,0.811
4,4,151.250,3.096,147,154,11.314,0.393,4.472,605,153,-1.099,100,605,151,4,26.565,2,2.253,0.444,0.571
5,1,152.000,0.000,152,152,2.828,1.000,1.414,152,152,NaN,100,152,176,2,135.000,1,1.000,1.000,1.000
6,1,154.000,0.000,154,154,2.828,1.000,1.414,154,154,NaN,100,154,582,2,135.000,1,1.000,1.000,1.000
7,44,109.023,24.865,61,155,24.971,0.887,10.000,4797,104,-0.935,100,4797,44,13,36.870,6.957,1.520,0.658,0.863
8,2,148.500,0.707,148,149,5.657,0.785,2.828,297,149,-2.000,100,297,343,5,135.000,1.414,2.646,0.378,0.667
9,20,142.100,11.544,114,156,15.899,0.994,6.403,2842,145,-0.200,100,2842,635,5,141.340,5.000,1.119,0.894,0.889
10,3,142.333,9.866,131,149,5.657,1.000,2.828,427,147,-1.500,100,427,623,7,135.000,2.000,1.464,0.683,0.857
11,1,144.000,0.000,144,144,2.828,1.000,1.414,144,144,NaN,100,144,188,12,135.000,1.000,1.000,1.000,1.000
12,1,151.000,0.000,151,151,2.828,1.000,1.414,151,151,NaN,100,151,194,12,135.000,1.000,1.000,1.000,1.000
13,7,143.714,8.015,134,152,10.485,0.800,5.000,1006,147,-1.813,100,1006,328,12,126.870,2.828,2.041,0.490,0.778
14,11,141.455,12.832,117,156,13.314,0.780,5.831,1556.000,139,-0.853,100,1556.000,342,12,120.964,3.536,1.877,0.533,0.759
15,1,152.000,0.000,152,152,2.828,1.000,1.414,152.000,152,NaN,100,152.000,422,12,135.000,1.000,1.000,1.000,1.000
16,2,149.000,7.071,144,154,5.657,0.785,2.828,298.000,154,-2.000,100,298.000,638,15,45.000,1.414,2.646,0.378,0.667
17,8,140.250,11.386,123,156,10.485,0.914,4.472,1122.000,144,-1.253,100,1122.000,335,18,63.435,3.000,1.605,0.623,0.800
18,5,138.200,9.365,124,147,10.485,0.572,4.472,691.000,139,-0.950,100,691.000,192,16,116.565,2.530,2.126,0.470,0.625
19,57,131.912,20.562,76,156,30.284,0.781,12.207,7519.000,136,-0.274,100,7519.000,410,24,34.992,6.616,2.042,0.490,0.814
20,1,155.000,0.000,155,155,2.828,1.000,1.414,155.000,155,NaN,100,155.000,59,17,135.000,1.000,1.000,1.000,1.000
21,1,145.000,0.000,145,145,2.828,1.000,1.414,145.000,145,NaN,100,145.000,141,17,135.000,1.000,1.000,1.000,1.000
22,1,147.000,0.000,147,147,2.828,1.000,1.414,147.000,147,NaN,100,147.000,240,20,135.000,1.000,1.000,1.000,1.000
23,1,146.000,0.000,146,146,2.828,1.000,1.414,146.000,146,NaN,100,146.000,199,21,135.000,1.000,1.000,1.000,1.000
24,12,132.417,19.176,94,153,13.314,0.851,5.831,1589.000,137,-0.754,100,1589.000,350,22,149.036,3.536,1.699,0.588,0.800
25,7,142.286,6.921,131,152,10.485,0.800,4.472,996.000,142,-0.747,100,996.000,109,26,63.435,2.828,1.668,0.600,0.778
26,2,150.500,4.950,147,154,5.657,0.785,2.828,301.000,154,-2.000,100,301.000,294,25,45.000,1.414,2.646,0.378,0.667
27,2,151.500,6.364,147,156,5.657,0.785,2.828,303.000,156,-2.000,100,303.000,133,26,45.000,1.414,2.646,0.378,0.667
28,1,146.000,0.000,146,146,2.828,1.000,1.414,146.000,146,NaN,100,146.000,240,24,135.000,1.000,1.000,1.000,1.000
29,5,142.600,11.261,126,154,8.485,0.873,3.162,713.000,142,-1.041,100,713.000,250,24,108.435,2.828,1.000,1.000,0.714
30,10,127.900,16.237,107,154,11.314,0.982,4.472,1279.000,132,-1.365,100,1279.000,147,26,153.435,3.578,1.316,0.760,0.769
31,46,136.804,14.220,106,156,27.213,0.781,10.296,6293.000,141,-0.879,100,6293.000,150,33,29.055,7.071,1.497,0.668,0.814
32,5,142.200,7.596,131,150,10.485,0.572,4.243,711.000,143,-1.059,100,711.000,196,29,45.000,2.828,1.553,0.644,0.714
33,13,147.923,6.614,134,156,24.627,0.269,10.817,1923.000,150,-0.546,100,1923.000,217,27,146.310,2.967,5.622,0.178,0.531
34,7,153.000,2.769,149,156,12.728,0.543,4.472,1071.000,153,-1.458,100,1071.000,588,26,116.565,3.000,1.435,0.697,0.636
35,1,150.000,0.000,150,150,2.828,1.000,1.414,150.000,150,NaN,100,150.000,169,27,135.000,1.000,1.000,1.000,1.000
36,1,154.000,0.000,154,154,2.828,1.000,1.414,154.000,154,NaN,100,154.000,198,30,135.000,1.000,1.000,1.000,1.000
37,7,147.143,5.581,137,153,11.071,0.718,5.099,1030.000,148,-0.384,100,1030.000,226,34,168.690,2.000,2.423,0.413,0.824
38,21,115.762,29.818,64,155,16.142,1.000,6.325,2431.000,112,-1.325,100,2431.000,394,39,71.565,5.000,1.096,0.913,0.857
39,5,138.000,8.124,126,146,7.657,1.000,3.606,690.000,140,-1.106,100,690.000,33,39,56.310,2.000,1.553,0.644,0.909
40,9,133.778,11.289,117,153,10.485,1.000,4.472,1204.000,136,-0.779,100,1204.000,376,37,153.435,3.000,1.536,0.651,0.857
41,1,146.000,0.000,146,146,2.828,1.000,1.414,146.000,146,NaN,100,146.000,58,38,135.000,1.000,1.000,1.000,1.000
42,15,145.267,7.676,130,156,17.314,0.629,7.280,2179.000,147,-0.492,100,2179.000,59,45,74.055,3.638,2.428,0.412,0.750
43,4,147.000,10.231,132,155,7.071,1.000,3.162,588.000,151,-0.766,100,588.000,522,40,161.565,2.000,1.468,0.681,0.800
44,8,130.250,17.903,98,152,10.485,0.914,4.472,1042.000,131,-0.581,100,1042.000,157,44,63.435,3.000,1.308,0.764,0.800
45,1,147.000,0.000,147,147,2.828,1.000,1.414,147.000,147,NaN,100,147.000,304,40,135.000,1.000,1.000,1.000,1.000
46,2,148.500,10.607,141,156,5.657,0.785,2.828,297.000,156,-2.000,100,297.000,632,40,135.000,1.414,2.646,0.378,0.667
47,62,98.081,31.602,42,156,33.456,0.696,13.153,6081.000,95,-0.838,100,6081.000,106,58,81.254,7.690,1.722,0.581,0.821
48,19,123.526,18.047,94,152,15.314,1.000,6.325,2347.000,121,-1.157,100,2347.000,81,47,161.565,4.000,1.396,0.717,0.905
49,7,125.857,14.100,105,145,10.485,0.800,4.472,881.000,124,-1.077,100,881.000,171,50,63.435,2.828,1.668,0.600,0.778
50,24,128.583,18.058,92,155,20.142,0.743,9.220,3086.000,127,-0.688,100,3086.000,276,55,49.399,4.427,2.312,0.433,0.814
51,1,155.000,0.000,155,155,2.828,1.000,1.414,155.000,155,NaN,100,155.000,140,50,135.000,1.000,1.000,1.000,1.000
52,3,140.333,2.887,137,142,5.657,1.000,2.828,421.000,142,-1.500,100,421.000,215,52,45.000,2.000,1.464,0.683,0.857
53,33,125.606,20.958,91,156,21.556,0.892,8.602,4145.000,126,-1.384,100,4145.000,336,56,35.538,5.814,1.621,0.617,0.857
54,1,152.000,0.000,152,152,2.828,1.000,1.414,152.000,152,NaN,100,152.000,432,50,135.000,1.000,1.000,1.000,1.000
55,1,155.000,0.000,155,155,2.828,1.000,1.414,155.000,155,NaN,100,155.000,269,51,135.000,1.000,1.000,1.000,1.000
56,2,155.000,1.414,154,156,4.828,1.000,2.236,310.000,156,-2.000,100,310.000,639,51,116.565,1.000,2.000,0.500,1.000
57,1,150.000,0.000,150,150,2.828,1.000,1.414,150.000,150,NaN,100,150.000,142,54,135.000,1.000,1.000,1.000,1.000
58,27,142.741,11.857,112,156,24.385,0.571,8.944,3854.000,146,0.146,100,3854.000,596,54,153.435,5.000,2.167,0.461,0.711
59,1,156.000,0.000,156,156,2.828,1.000,1.414,156.000,156,NaN,100,156.000,634,54,135.000,1.000,1.000,1.000,1.000
60,22,142.955,9.786,119,155,20.142,0.681,8.246,3145.000,145,-0.009,100,3145.000,630,56,165.964,4.511,2.184,0.458,0.746
61,3,142.333,16.743,123,152,8.485,0.524,3.162,427.000,152,-1.500,100,427.000,14,56,161.565,2.000,1.567,0.638,0.600
62,36,129.528,16.812,89,156,22.142,0.923,8.602,4663.000,131,-0.158,100,4663.000,225,57,144.462,6.934,1.183,0.846,0.878
63,28,134.179,16.253,101,155,28.042,0.447,10.198,3757.000,137,-1.105,100,3757.000,56,58,168.690,5.706,1.856,0.539,0.651
64,14,134.714,14.835,104,153,15.314,0.750,7.071,1886.000,136,-0.713,100,1886.000,148,58,135.000,4.243,1.714,0.583,0.778
65,2,151.000,4.243,148,154,5.657,0.785,2.828,302.000,154,-2.000,100,302.000,173,59,135.000,1.414,2.646,0.378,0.667
66,3,152.000,6.083,145,156,8.485,0.524,4.243,456.000,155,-1.500,100,456.000,18,63,45.000,1.414,4.123,0.243,0.600
67,3,151.667,6.658,144,156,8.485,0.524,3.162,455.000,155,-1.500,100,455.000,454,60,161.565,2.000,1.567,0.638,0.600
68,1,156.000,0.000,156,156,2.828,1.000,1.414,156.000,156,NaN,100,156.000,628,60,135.000,1.000,1.000,1.000,1.000
69,4,146.750,8.617,137,154,8.485,0.698,4.243,587.000,154,-1.785,100,587.000,210,62,135.000,2.121,2.654,0.377,0.667
70,4,147.750,6.131,140,154,7.657,0.857,3.162,591.000,151,-1.347,100,591.000,44,64,108.435,2.000,1.468,0.681,0.800
71,8,124.375,20.846,97,155,9.071,1.000,4.243,995.000,124,-1.315,100,995.000,127,67,45.000,3.000,1.229,0.814,0.941
