,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,172.0,120.988,22.252,83,158,51.213,0.824,18.028,20810,121,-1.378,100,20810,0,10,33.690,13,1.228,0.814,0.930
2,1,157.000,0.000,157,157,2.828,1.000,1.414,157,157,NaN,100,157,158,0,135.000,1,1.000,1.000,1.000
3,19,152.421,4.550,141,158,17.899,0.745,7.616,2896,154,0.309,100,2896,160,0,156.801,4,1.891,0.529,0.864
4,13,147.846,9.737,124,158,13.071,0.956,5.831,1922,151,0.694,100,1922,210,0,149.036,3,1.796,0.557,0.929
5,1,155.000,0.000,155,155,2.828,1.000,1.414,155,155,NaN,100,155,502,0,135.000,1,1.000,1.000,1.000
6,298,123.030,31.358,66,158,83.841,0.533,29.530,36663,134,-1.406,100,36663,521,14,28.301,19,1.591,0.628,0.818
7,1,157.000,0.000,157,157,2.828,1.000,1.414,157,157,NaN,100,157,505,1,135.000,1,1.000,1.000,1.000
8,159,140.258,16.377,103,158,64.083,0.487,24.187,22301.000,145,-1.032,100,22301.000,496,22,29.745,12.642,1.969,0.508,0.770
9,98,145.286,11.009,111,158,43.456,0.652,15.556,14238.000,147,0.314,100,14238.000,216,12,135.000,11.180,1.146,0.873,0.820
10,1,155.000,0.000,155,155,2.828,1.000,1.414,155.000,155,NaN,100,155.000,606,16,135.000,1.000,1.000,1.000,1.000
11,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,373,17,135.000,1.000,1.000,1.000,1.000
12,16,153.688,5.069,142,158,14.485,0.958,5.831,2459.000,157,0.273,100,2459.000,606,18,120.964,4.000,1.090,0.918,0.889
13,1,153.000,0.000,153,153,2.828,1.000,1.414,153.000,153,NaN,100,153.000,238,20,135.000,1.000,1.000,1.000,1.000
14,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,240,20,135.000,1.000,1.000,1.000,1.000
15,21,149.333,6.506,136,158,18.142,0.802,6.403,3136.000,151,-0.877,100,3136.000,426,25,38.660,5.000,1.057,0.946,0.808
16,2,155.500,2.121,154,157,4.243,1.000,2.236,311.000,157,-2.000,100,311.000,223,23,153.435,1.000,2.000,0.500,1.000
17,34,148.853,8.486,128,158,22.142,0.871,8.544,5061.000,152,-0.251,100,5061.000,547,25,159.444,6.000,1.423,0.703,0.872
18,25,148.680,7.723,130,158,18.385,0.929,7.071,3717.000,152,0.163,100,3717.000,345,29,171.870,5.657,1.122,0.891,0.820
19,1,154.000,0.000,154,154,2.828,1.000,1.414,154.000,154,NaN,100,154.000,574,26,135.000,1.000,1.000,1.000,1.000
20,10,154.000,3.559,148,157,11.899,0.887,4.472,1540.000,155,-0.742,100,1540.000,528,28,116.565,4.000,1.090,0.917,0.800
21,18,149.889,6.712,131,158,15.899,0.895,6.403,2698.000,151,1.528,100,2698.000,497,30,128.660,4.000,1.221,0.819,0.857
22,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,544,29,135.000,1.000,1.000,1.000,1.000
23,21,144.238,11.726,118,157,15.899,1.000,6.403,3029.000,148,-0.576,100,3029.000,602,35,38.660,5.000,1.182,0.846,0.913
24,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,518,33,135.000,1.000,1.000,1.000,1.000
25,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,376,34,135.000,1.000,1.000,1.000,1.000
26,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,60,38,135.000,1.000,1.000,1.000,1.000
27,27,147.444,10.278,124,158,26.627,0.479,8.602,3981.000,151,-0.226,100,3981.000,485,40,125.538,6.200,1.351,0.740,0.675
28,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,522,40,135.000,1.000,1.000,1.000,1.000
29,28,149.536,7.026,133,158,18.728,1.000,7.616,4187.000,153,-0.503,100,4187.000,510,42,156.801,5.000,1.307,0.765,0.903
30,26,146.654,7.621,131,157,17.314,1.000,6.708,3813.000,147,-0.957,100,3813.000,614,48,153.435,5.000,1.184,0.845,0.929
31,20,151.100,5.261,136,158,18.971,0.698,7.211,3022.000,152,1.387,100,3022.000,187,56,56.310,4.950,1.310,0.763,0.784
32,43,154.488,5.082,139,158,26.385,0.776,10.817,6643.000,157,2.311,100,6643.000,376,59,56.310,6.261,1.870,0.535,0.843
33,12,145.167,10.786,121,158,11.899,1.000,5.385,1742.000,147,0.282,100,1742.000,547,50,158.199,3.000,1.579,0.633,0.889
34,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,524,54,135.000,1.000,1.000,1.000,1.000
35,9,150.000,6.144,139,157,10.485,1.000,4.472,1350.000,151,-0.533,100,1350.000,495,56,116.565,3.000,1.185,0.844,0.857
36,116,121.009,27.344,60,158,44.042,0.752,18.974,14037.000,126,-1.066,100,14037.000,581,64,161.565,9.000,2.059,0.486,0.892
37,16,151.562,6.271,135,158,13.314,1.000,5.831,2425.000,154,1.031,100,2425.000,509,69,30.964,4.000,1.292,0.774,0.889
38,16,154.000,3.777,146,158,21.799,0.423,7.616,2464.000,156,-0.879,100,2464.000,54,66,113.199,4.919,1.566,0.638,0.667
39,11,153.273,6.769,136,158,11.899,0.976,5.000,1686.000,157,1.870,100,1686.000,497,66,126.870,4.000,1.218,0.821,0.815
40,352,141.278,16.305,90,158,135.924,0.239,38.626,49730.000,147,0.038,100,49730.000,502,69,111.251,23.759,1.737,0.576,0.611
41,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,52,70,135.000,1.000,1.000,1.000,1.000
42,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,60,72,135.000,1.000,1.000,1.000,1.000
43,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,384,72,135.000,1.000,1.000,1.000,1.000
44,13,153.000,3.958,147,158,16.142,0.627,6.403,1989.000,153,-1.461,100,1989.000,537,77,51.340,4.000,1.574,0.635,0.765
45,25,146.680,10.467,113,158,17.899,0.981,7.211,3667.000,148,2.301,100,3667.000,625,75,146.310,5.000,1.166,0.858,0.909
46,11,149.000,7.389,136,157,12.728,0.853,5.099,1639.000,152,-0.603,100,1639.000,596,82,168.690,4.000,1.146,0.873,0.733
47,16,154.938,3.454,146,158,21.213,0.447,7.211,2479.000,157,0.686,100,2479.000,25,83,146.310,4.919,1.406,0.711,0.627
48,20,154.500,3.914,147,158,21.799,0.529,7.211,3090.000,157,-0.461,100,3090.000,111,88,33.690,5.000,1.132,0.883,0.755
49,74,124.189,26.506,61,158,35.456,0.740,12.806,9190.000,132,-0.859,100,9190.000,464,99,38.660,9.000,1.197,0.835,0.855
50,1,154.000,0.000,154,154,2.828,1.000,1.414,154.000,154,NaN,100,154.000,146,92,135.000,1.000,1.000,1.000,1.000
51,1,155.000,0.000,155,155,2.828,1.000,1.414,155.000,155,NaN,100,155.000,234,92,135.000,1.000,1.000,1.000,1.000
52,18,139.944,10.270,121,158,16.485,0.832,7.280,2519.000,142,-0.695,100,2519.000,638,93,105.945,3.000,2.178,0.459,0.923
53,70,136.057,19.971,86,158,36.870,0.647,13.416,9524.000,143,-0.524,100,9524.000,235,106,63.435,7.442,1.937,0.516,0.838
54,4,140.500,7.141,130,145,8.485,0.698,3.606,562.000,145,-0.782,100,562.000,617,97,33.690,2.000,1.637,0.611,0.727
55,2,154.500,3.536,152,157,4.828,1.000,2.236,309.000,157,-2.000,100,309.000,506,97,116.565,1.000,2.000,0.500,1.000
