,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,6.0,145.500,7.503,134,154,9.657,0.809,4.472,873,147,-1.026,100,873,432,0,116.565,2,2.082,0.480,0.857
2,6,147.333,8.335,137,156,7.657,1.000,3.606,884,150,-1.482,100,884,502,0,123.690,2,1.500,0.667,1.000
3,4,150.750,3.304,147,154,8.485,0.698,3.606,603,153,-1.716,100,603,582,2,33.690,2,1.637,0.611,0.727
4,31,113.065,24.065,63,154,24.971,0.625,10.198,3505,112,-0.862,100,3505,209,12,78.690,5,2.275,0.439,0.816
5,5,147.600,6.877,140,156,7.657,1.000,3.606,738,147,-1.582,100,738,509,2,123.690,2,1.553,0.644,0.909
6,5,148.000,9.083,136,156,8.485,0.873,3.606,740,151,-1.558,100,740,516,5,33.690,2.828,1.289,0.776,0.667
7,2,143.500,2.121,142,145,5.657,0.785,2.828,287,145,-2.000,100,287,220,4,135.000,1.414,2.646,0.378,0.667
8,1,148.000,0.000,148,148,2.828,1.000,1.414,148,148,NaN,100,148,622,4,135.000,1.000,1.000,1.000,1.000
9,1,143.000,0.000,143,143,2.828,1.000,1.414,143,143,NaN,100,143,347,5,135.000,1.000,1.000,1.000,1.000
10,5,139.200,9.985,125,151,7.657,1.000,3.606,696,138,-1.042,100,696,494,9,56.310,2.000,1.553,0.644,0.909
11,7,141.143,7.403,125,147,9.899,0.898,4.472,988,142,1.512,100,988,596,9,26.565,2.828,1.668,0.600,0.778
12,7,143.143,10.590,129,155,11.899,0.621,4.472,1002,148,-1.591,100,1002,393,9,153.435,3.000,1.425,0.702,0.700
13,5,145.200,6.380,136,154,11.314,0.491,4.472,726,145,-0.517,100,726,411,11,116.565,2.828,1.629,0.614,0.556
14,7,147.286,6.775,135,153,8.485,1.000,4.243,1031,150,-0.559,100,1031,516,11,135.000,2.828,1.596,0.626,0.875
15,7,113.571,24.744,87,144,11.314,0.687,4.472,795,120,-1.663,100,795,301,18,26.565,3.000,1.280,0.781,0.700
16,2,148.000,9.899,141,155,4.243,1.000,2.236,296,155,-2.000,100,296,429,16,153.435,1.000,2.000,0.500,1.000
17,1,152.000,0.000,152,152,2.828,1.000,1.414,152,152,NaN,100,152,527,21,135.000,1.000,1.000,1.000,1.000
18,1,155.000,0.000,155,155,2.828,1.000,1.414,155,155,NaN,100,155,220,22,135.000,1.000,1.000,1.000,1.000
19,1,154.000,0.000,154,154,2.828,1.000,1.414,154,154,NaN,100,154,396,22,135.000,1.000,1.000,1.000,1.000
20,18,138.833,11.592,111,154,16.971,0.785,7.211,2499,140,0.018,100,2499,409,23,123.690,4.243,1.972,0.507,0.766
21,3,152.000,5.196,146,155,5.657,1.000,2.828,456,155,-1.500,100,456,367,25,135.000,2.000,1.464,0.683,0.857
22,3,148.667,3.512,145,152,8.485,0.524,3.162,446,149,-1.500,100,446,562,26,161.565,2.000,1.567,0.638,0.600
23,25,136.080,12.550,114,155,20.971,0.714,8.246,3402.000,135,-1.122,100,3402.000,577,27,104.036,4.851,1.898,0.527,0.794
24,3,143.667,7.506,136,151,6.828,0.809,3.162,431.000,144,-1.500,100,431.000,448,28,108.435,1.000,3.000,0.333,1.000
25,1,151.000,0.000,151,151,2.828,1.000,1.414,151.000,151,NaN,100,151.000,368,30,135.000,1.000,1.000,1.000,1.000
26,1,152.000,0.000,152,152,2.828,1.000,1.414,152.000,152,NaN,100,152.000,480,30,135.000,1.000,1.000,1.000,1.000
27,1,148.000,0.000,148,148,2.828,1.000,1.414,148.000,148,NaN,100,148.000,346,32,135.000,1.000,1.000,1.000,1.000
28,4,142.250,8.884,134,154,5.657,1.000,2.828,569.000,144,-1.254,100,569.000,414,38,135.000,2.000,1.000,1.000,1.000
29,2,151.000,5.657,147,155,4.243,1.000,2.236,302.000,155,-2.000,100,302.000,235,42,153.435,1.000,2.000,0.500,1.000
30,11,138.727,8.810,128,152,13.899,0.715,6.325,1526.000,139,-1.333,100,1526.000,261,44,18.435,3.000,2.264,0.442,0.786
31,5,141.200,7.981,131,150,8.485,0.873,4.243,706.000,141,-1.484,100,706.000,372,48,135.000,2.121,2.308,0.433,0.769
32,3,148.333,3.786,144,151,8.485,0.524,3.162,445.000,150,-1.500,100,445.000,438,48,108.435,2.000,1.567,0.638,0.600
33,4,149.250,7.411,141,156,7.657,0.857,3.606,597.000,155,-1.802,100,597.000,312,52,56.310,2.000,2.031,0.492,0.800
34,1,153.000,0.000,153,153,2.828,1.000,1.414,153.000,153,NaN,100,153.000,310,50,135.000,1.000,1.000,1.000,1.000
35,3,145.333,7.506,141,154,8.485,0.524,3.162,436.000,141,-1.500,100,436.000,376,52,161.565,2.000,1.567,0.638,0.600
36,11,137.727,11.481,117,150,11.899,0.976,4.472,1515.000,140,-0.992,100,1515.000,579,51,116.565,4.000,1.035,0.966,0.846
37,1,145.000,0.000,145,145,2.828,1.000,1.414,145.000,145,NaN,100,145.000,532,52,135.000,1.000,1.000,1.000,1.000
38,4,149.000,4.899,143,153,8.485,0.698,4.243,596.000,153,-1.593,100,596.000,350,59,45.000,2.121,2.654,0.377,0.667
39,20,118.150,23.059,66,153,19.799,0.641,7.616,2363.000,118,-0.249,100,2363.000,366,56,113.199,4.950,1.502,0.666,0.727
40,1,148.000,0.000,148,148,2.828,1.000,1.414,148.000,148,NaN,100,148.000,508,56,135.000,1.000,1.000,1.000,1.000
41,18,124.556,17.399,92,155,15.314,0.965,5.831,2242.000,127,-0.757,100,2242.000,540,56,120.964,4.950,1.137,0.879,0.878
42,2,148.000,4.243,145,151,5.657,0.785,2.828,296.000,151,-2.000,100,296.000,306,63,45.000,1.414,2.646,0.378,0.667
43,18,128.056,18.725,93,151,16.728,0.808,6.708,2305.000,134,-1.121,100,2305.000,566,61,116.565,4.600,1.590,0.629,0.800
44,13,147.538,5.190,135,155,18.971,0.454,7.211,1918.000,149,0.696,100,1918.000,301,67,123.690,4.630,1.882,0.531,0.591
45,12,135.083,13.931,114,155,12.485,0.967,5.000,1621.000,136,-1.314,100,1621.000,621,67,126.870,4.000,1.218,0.821,0.889
46,7,126.143,12.509,101,139,10.485,0.800,4.472,883.000,130,0.470,100,883.000,264,68,116.565,2.828,1.668,0.600,0.778
47,1,151.000,0.000,151,151,2.828,1.000,1.414,151.000,151,NaN,100,151.000,350,68,135.000,1.000,1.000,1.000,1.000
48,1,145.000,0.000,145,145,2.828,1.000,1.414,145.000,145,NaN,100,145.000,352,68,135.000,1.000,1.000,1.000,1.000
49,18,100.667,22.690,55,146,16.142,0.868,6.708,1812.000,106,0.065,100,1812.000,397,68,116.565,4.243,1.571,0.636,0.837
50,16,133.312,15.217,112,153,16.142,0.772,6.325,2133.000,134,-1.403,100,2133.000,414,75,71.565,4.000,1.593,0.628,0.800
51,8,139.125,9.296,127,149,11.314,0.785,5.000,1113.000,146,-1.705,100,1113.000,625,70,126.870,2.828,2.014,0.496,0.727
