 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,91.0,119.736,10.444,63,139,43.113,0.615,14.866,10896,122,19.556,0,10896,145,10,42.274,10.600,1.429,0.700,0.831
2,5,82.600,13.012,62,96,7.657,1.000,3.606,413,87,-0.660,0,413,628,1,123.690,2.000,1.553,0.644,0.909
3,1,121.000,0.000,121,121,2.828,1.000,1.414,121,121,-366.999,0,121,97,11,135.000,1.000,1.000,1.000,1.000
4,13,102.231,13.688,80,123,17.314,0.545,7.280,1329,103,-4.684,0,1329,152,13,164.055,3.781,2.204,0.454,0.667
5,5,93.000,16.416,64,103,8.485,0.873,3.162,465,101,9.471,0,465,278,14,108.435,2.828,1.000,1.000,0.714
6,2,111.500,3.536,109,114,5.657,0.785,2.828,223,114,-2.000,0,223,57,15,135.000,1.414,2.646,0.378,0.667
7,26,108.654,16.468,80,141,18.142,0.993,7.071,2825,112,0.455,0,2825,529,15,98.130,5.000,1.192,0.839,0.867
8,2,109.000,2.828,107,111,5.657,0.785,2.828,218,111,289.920,0,218,33,18,45.000,1.414,2.646,0.378,0.667
9,2,128.000,2.828,126,130,4.828,1.000,2.236,256,130,-974.027,0,256,191,16,116.565,1.000,2.000,0.500,1.000
10,153,72.497,28.563,24,135,62.184,0.497,22.361,11092,73,-1.086,0,11092,85,24,10.305,11.000,2.324,0.430,0.834
11,1,116.000,0.000,116,116,2.828,1.000,1.414,116,116,-352.000,0,116,110,18,135.000,1.000,1.000,1.000,1.000
12,70,85.157,29.017,34,141,35.213,0.709,13.928,5961,90,-0.998,0,5961,43,25,21.038,7.000,1.948,0.513,0.854
13,23,124.000,7.336,110,137,19.556,0.756,8.602,2852,125,-190.752,0,2852,545,25,144.462,4.243,2.132,0.469,0.821
14,16,129.562,11.639,110,151,16.142,0.772,7.211,2073,132,-27.266,0,2073,0,35,33.690,3.578,2.281,0.438,0.780
