 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,89.0,109.045,36.100,48,158,53.941,0.384,20.616,9705.000,108,-1.564,100,9705.000,2,5,14.036,9.000,2.600,0.385,0.693
2,23,137.870,18.152,99,159,21.556,0.622,8.544,3171.000,145,-0.600,100,3171.000,33,0,110.556,5.000,1.929,0.518,0.730
3,2688,110.424,30.427,26,159,662.264,0.077,144.222,296819.000,114,-1.076,100,296819.000,48,27,176.820,55.826,3.886,0.257,0.454
4,211,97.313,29.504,43,159,63.698,0.653,24.166,20533.000,91,-0.874,100,20533.000,260,10,24.444,14.000,1.584,0.631,0.887
5,4,155.000,2.160,152,157,7.657,0.857,3.606,620.000,156,-1.000,100,620.000,499,3,123.690,2.000,2.000,0.500,0.800
6,10,150.000,7.024,134,159,12.728,0.776,5.831,1500.000,152,0.808,100,1500.000,327,8,30.964,2.828,2.209,0.453,0.769
7,5,146.400,9.343,134,156,10.485,0.572,5.000,732.000,146,-1.423,100,732.000,629,5,126.870,2.121,3.145,0.318,0.667
8,1,157.000,0.000,157,157,2.828,1.000,1.414,157.000,157,NaN,100,157.000,635,5,135.000,1.000,1.000,1.000,1.000
9,6,150.333,8.892,137,159,9.657,0.809,4.472,902.000,154,-1.236,100,902.000,10,11,63.435,2.000,2.082,0.480,0.857
10,1,155.000,0.000,155,155,2.828,1.000,1.414,155.000,155,NaN,100,155.000,603,7,135.000,1.000,1.000,1.000,1.000
11,4,151.000,6.782,144,159,7.071,1.000,3.162,604.000,154,-1.565,100,604.000,14,10,161.565,2.000,1.468,0.681,0.800
12,12,126.500,25.304,75,157,12.485,0.967,5.000,1518.000,139,-0.624,100,1518.000,636,10,143.130,4.000,1.177,0.850,0.857
13,16,134.812,19.715,87,156,14.728,0.927,5.831,2157.000,137,0.172,100,2157.000,25,11,149.036,4.000,1.179,0.848,0.865
14,265,133.562,15.121,91,159,112.024,0.265,34.409,35394.000,135,-0.307,100,35394.000,198,39,54.462,18.984,2.405,0.416,0.573
15,4,153.000,10.033,138,159,7.657,0.857,3.606,612.000,158,-0.684,100,612.000,432,11,123.690,2.000,2.000,0.500,0.800
16,9,135.222,15.213,111,154,11.314,0.884,4.472,1217.000,140,-1.197,100,1217.000,479,11,116.565,3.536,1.390,0.720,0.750
17,1165,91.058,35.601,30,159,230.936,0.275,66.310,106082.000,80,-1.068,100,106082.000,505,11,113.085,37.448,1.906,0.525,0.648
18,701,103.385,28.908,25,159,217.421,0.186,45.607,72473.000,101,-0.731,100,72473.000,589,56,74.745,36.123,1.270,0.787,0.588
19,25,138.360,18.936,94,159,19.556,0.821,7.616,3459.000,147,-0.503,100,3459.000,53,18,23.199,5.000,1.374,0.728,0.862
20,3,147.667,12.662,134,159,5.657,1.000,2.828,443.000,150,-1.500,100,443.000,358,14,135.000,2.000,1.464,0.683,0.857
21,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,566,14,135.000,1.000,1.000,1.000,1.000
22,34,123.618,19.221,92,159,24.728,0.699,10.198,4203.000,122,-1.177,100,4203.000,449,17,168.690,5.000,2.071,0.483,0.829
23,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,15,17,135.000,1.000,1.000,1.000,1.000
24,1,146.000,0.000,146,146,2.828,1.000,1.414,146.000,146,NaN,100,146.000,19,17,135.000,1.000,1.000,1.000,1.000
25,8,145.750,6.159,138,152,12.728,0.621,4.472,1166.000,148,-1.601,100,1166.000,463,17,116.565,3.795,1.107,0.904,0.667
26,30,136.600,14.438,96,158,22.385,0.752,8.944,4098.000,141,0.244,100,4098.000,559,22,26.565,6.247,1.584,0.631,0.759
27,34,121.588,18.507,79,151,21.556,0.919,9.434,4134.000,126,-0.426,100,4134.000,335,24,32.005,5.657,1.704,0.587,0.907
28,24,139.958,15.156,104,159,18.971,0.838,8.062,3359.000,145,-0.282,100,3359.000,482,25,29.745,4.919,1.724,0.580,0.774
29,21,133.667,17.393,96,153,16.728,0.943,6.325,2807.000,138,-0.203,100,2807.000,449,28,71.565,5.000,1.093,0.915,0.857
30,45,147.467,8.649,123,159,48.770,0.238,16.279,6636.000,150,0.611,100,6636.000,32,27,10.620,8.004,2.762,0.362,0.492
31,2,156.500,0.707,156,157,5.657,0.785,2.828,313.000,157,-2.000,100,313.000,79,23,135.000,1.414,2.646,0.378,0.667
32,4,154.500,5.066,147,158,8.485,0.698,3.162,618.000,157,-0.734,100,618.000,406,24,108.435,2.828,1.000,1.000,0.571
33,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,611,24,135.000,1.000,1.000,1.000,1.000
34,26,145.423,10.053,121,159,23.799,0.577,9.055,3781.000,149,0.025,100,3781.000,5,25,96.340,5.754,1.649,0.606,0.693
35,11,147.455,10.558,127,158,13.314,0.780,5.000,1622.000,151,-0.511,100,1622.000,239,28,36.870,4.000,1.237,0.809,0.815
36,18,148.889,9.505,124,158,20.971,0.514,8.602,2680.000,153,0.822,100,2680.000,570,33,35.538,5.060,1.845,0.542,0.632
37,17,119.882,24.515,63,154,14.485,1.000,5.831,2038.000,129,-0.089,100,2038.000,631,29,149.036,4.000,1.192,0.839,0.919
38,6,146.000,4.427,140,151,11.314,0.589,4.472,876.000,148,-1.469,100,876.000,350,30,153.435,2.828,1.633,0.612,0.667
39,84,116.798,19.618,67,153,34.042,0.911,13.038,9811.000,117,-0.563,100,9811.000,10,41,32.471,9.192,1.474,0.678,0.903
40,1,159.000,0.000,159,159,2.828,1.000,1.414,159.000,159,NaN,100,159.000,80,32,135.000,1.000,1.000,1.000,1.000
41,3,149.667,13.650,134,159,8.485,0.524,3.162,449.000,156,-1.500,100,449.000,374,32,108.435,2.000,1.567,0.638,0.600
42,1,152.000,0.000,152,152,2.828,1.000,1.414,152.000,152,NaN,100,152.000,3,33,135.000,1.000,1.000,1.000,1.000
43,2,153.000,4.243,150,156,5.657,0.785,2.828,306.000,156,-2.000,100,306.000,359,36,45.000,1.414,2.646,0.378,0.667
44,7,138.857,16.547,119,157,14.142,0.440,4.472,972.000,132,-1.759,100,972.000,494,34,116.565,3.795,1.110,0.901,0.583
45,1,159.000,0.000,159,159,2.828,1.000,1.414,159.000,159,NaN,100,159.000,47,35,135.000,1.000,1.000,1.000,1.000
46,5,147.400,9.099,136,158,7.657,1.000,3.606,737.000,151,-1.490,100,737.000,512,40,56.310,2.000,1.553,0.644,0.909
47,46,139.304,15.243,104,159,25.799,0.868,9.487,6408.000,145,-0.418,100,6408.000,335,48,71.565,7.000,1.261,0.793,0.868
48,45,138.467,11.839,113,158,26.142,0.827,10.817,6231.000,138,-0.670,100,6231.000,308,50,56.310,6.957,1.687,0.593,0.882
49,77,125.896,18.288,82,159,41.941,0.550,16.553,9694.000,125,-0.656,100,9694.000,361,56,64.983,9.099,2.271,0.440,0.740
50,17,141.706,15.759,115,158,19.556,0.559,7.211,2409.000,149,-0.990,100,2409.000,469,48,33.690,4.919,1.537,0.651,0.708
51,2,142.000,7.071,137,147,5.657,0.785,2.828,284.000,147,-2.000,100,284.000,510,45,45.000,1.414,2.646,0.378,0.667
52,26,143.462,11.823,109,159,20.971,0.743,8.062,3730.000,145,0.798,100,3730.000,161,45,119.745,5.657,1.241,0.805,0.788
53,25,147.720,8.080,129,158,35.456,0.250,12.806,3693.000,149,-0.671,100,3693.000,29,56,51.340,6.600,2.300,0.435,0.472
54,1,156.000,0.000,156,156,2.828,1.000,1.414,156.000,156,NaN,100,156.000,83,47,135.000,1.000,1.000,1.000,1.000
55,4,154.750,4.992,148,159,8.485,0.698,3.606,619.000,158,-1.200,100,619.000,182,47,123.690,2.000,1.637,0.611,0.727
56,64,139.328,14.312,87,157,41.698,0.463,17.088,8917.000,143,1.902,100,8917.000,555,54,20.556,6.746,3.081,0.325,0.727
57,1,148.000,0.000,148,148,2.828,1.000,1.414,148.000,148,NaN,100,148.000,639,47,135.000,1.000,1.000,1.000,1.000
58,3,144.667,13.013,132,158,5.657,1.000,2.828,434.000,144,-1.500,100,434.000,92,48,135.000,2.000,1.464,0.683,0.857
59,1,158.000,0.000,158,158,2.828,1.000,1.414,158.000,158,NaN,100,158.000,81,49,135.000,1.000,1.000,1.000,1.000
60,1,141.000,0.000,141,141,2.828,1.000,1.414,141.000,141,NaN,100,141.000,81,51,135.000,1.000,1.000,1.000,1.000
61,4,154.750,3.500,151,159,7.657,0.857,3.162,619.000,156,-1.413,100,619.000,305,53,108.435,2.000,1.468,0.681,0.800
62,4,148.500,3.873,144,153,7.657,0.857,3.162,594.000,150,-1.360,100,594.000,333,53,108.435,2.000,1.468,0.681,0.800
