 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,6.0,113.500,27.689,84,145,7.657,1.000,3.606,681,134,0.126,0,681,115,0,146.310,2.000,1.500,0.667,1.000
2,4,123.000,15.492,105,141,5.657,1.000,2.828,492,129,-24.395,0,492,206,0,135.000,2.000,1.000,1.000,1.000
3,49,115.265,30.932,41,171,33.314,0.555,15.133,5648,120,-0.393,0,5648,303,0,172.405,4.000,3.486,0.287,0.925
4,40,88.125,40.184,12,182,24.728,0.822,9.220,3525,80,0.004,0,3525,437,0,139.399,7.000,1.086,0.921,0.870
5,5091,66.087,42.409,1,183,669.193,0.143,134.201,336449,51,-0.488,0,336449,533,26,142.874,90.993,1.691,0.591,0.602
6,160,81.025,33.316,7,149,71.113,0.398,27.295,12964,79,-0.872,0,12964,603,4,8.427,12.000,2.322,0.431,0.699
7,9,118.667,16.606,100,151,11.314,0.884,4.472,1068,117,3.226,0,1068,297,4,26.565,3.536,1.390,0.720,0.750
8,64,115.359,23.522,62,169,33.213,0.729,13.342,7383,110,-0.229,0,7383,78,5,167.005,7.000,2.131,0.469,0.848
9,96,92.531,40.685,17,173,40.627,0.731,15.524,8883,96,-0.868,0,8883,540,17,75.069,9.000,1.886,0.530,0.853
10,4,104.000,17.645,81,121,7.657,0.857,3.162,416,114,-1.315,0,416,421,7,108.435,2.000,1.468,0.681,0.800
11,59,113.000,42.968,31,183,35.456,0.590,11.662,6667,118,-0.992,0,6667,523,7,120.964,7.727,1.670,0.599,0.792
12,74,86.811,42.610,4,169,33.213,0.843,12.369,6424,80,-1.106,0,6424,608,19,75.964,8.629,1.506,0.664,0.865
13,5,134.400,11.104,118,145,9.657,0.674,4.123,672,135,-94.232,0,672,229,8,104.036,2.000,2.188,0.457,0.769
14,9,94.333,29.783,45,133,9.657,1.000,4.243,849,98,-0.645,0,849,595,8,135.000,3.000,1.000,1.000,1.000
15,18,114.389,29.189,71,166,16.728,0.808,6.325,2059,118,-1.012,0,2059,221,9,108.435,5.000,1.077,0.928,0.818
16,1,98.000,0.000,98,98,2.828,1.000,1.414,98,98,-298.000,0,98,628,12,135.000,1.000,1.000,1.000,1.000
17,76,101.697,36.281,25,177,32.627,0.897,12.166,7729,109,-0.633,0,7729,478,16,170.538,8.974,1.345,0.743,0.884
18,17,133.882,21.281,99,175,16.142,0.820,7.211,2276,134,2.759,0,2276,410,19,33.690,3.536,2.168,0.461,0.829
19,2,109.000,21.213,94,124,5.657,0.785,2.828,218,124,-27.143,0,218,281,17,135.000,1.414,2.646,0.378,0.667
20,31,108.968,34.063,57,176,21.899,0.812,9.434,3378,109,-0.942,0,3378,607,30,57.995,5.000,1.860,0.538,0.925
21,18,136.889,21.663,88,176,14.728,1.000,6.325,2464,140,1.749,0,2464,292,26,18.435,4.000,1.387,0.721,0.857
22,40,131.950,22.017,85,172,22.385,1.000,8.246,5278,134,-2.500,0,5278,86,26,165.964,7.000,1.103,0.907,0.870
23,32,101.312,40.326,28,168,19.314,1.000,7.211,3242,96,-1.132,0,3242,520,26,123.690,6.000,1.000,1.000,0.941
24,18,128.000,15.381,98,146,15.314,0.965,6.403,2304,132,1.815,0,2304,135,32,141.340,4.000,1.434,0.697,0.878
25,11,112.636,20.944,74,140,11.314,1.000,5.000,1239,116,4.974,0,1239,154,33,126.870,3.578,1.450,0.690,0.815
26,84,95.095,33.959,27,168,38.527,0.711,14.318,7988.000,88,-0.752,0,7988.000,630,46,65.225,9.184,1.725,0.580,0.816
27,5,122.200,16.115,99,137,7.657,1.000,3.606,611,130,-1.332,0,611,220,38,56.310,2.000,1.553,0.644,0.909
28,77,122.922,24.318,60,172,41.456,0.563,14.866,9465,122,-0.100,0,9465,51,46,42.274,9.603,1.831,0.546,0.748
29,2,107.000,9.899,100,114,4.243,1.000,2.236,214,114,-2.000,0,214,374,37,153.435,1.000,2.000,0.500,1.000
30,31,104.968,35.409,39,176,21.799,0.820,8.544,3254,105,-0.577,0,3254,500,37,110.556,6.261,1.410,0.709,0.795
31,34,123.618,22.338,84,177,20.142,1.000,8.062,4203,124,-0.626,0,4203,289,39,150.255,6.000,1.275,0.784,0.919
32,13,114.000,26.690,77,164,12.485,1.000,5.000,1482,115,-2.532,0,1482,398,38,126.870,4.000,1.093,0.915,0.897
33,20,134.500,25.587,95,170,16.728,0.898,7.211,2690,142,-2.237,0,2690,325,44,33.690,4.427,1.792,0.558,0.833
34,18,106.556,35.462,37,175,14.485,1.000,5.831,1918,108,-0.695,0,1918,405,46,149.036,4.000,1.248,0.801,0.947
35,17,124.824,21.314,88,168,14.728,0.985,5.831,2122,128,0.579,0,2122,516,46,120.964,4.950,1.150,0.869,0.829
36,8,128.125,8.983,115,140,10.485,0.914,5.000,1025,133,-1.309,0,1025,43,52,53.130,2.828,1.939,0.516,0.842
37,9,118.111,16.481,97,146,11.071,0.923,5.000,1063,117,-1.065,0,1063,328,52,36.870,3.000,1.539,0.650,0.900
38,19,157.842,12.084,132,175,15.071,1.000,6.403,2999,159,-146.938,0,2999,463,55,51.340,4.000,1.273,0.785,0.974
39,63,127.159,20.588,81,160,34.627,0.660,13.601,8011,130,-0.424,0,8011,621,62,53.973,9.000,1.375,0.727,0.808
40,11,114.818,26.305,60,149,11.071,1.000,5.000,1263,123,1.600,0,1263,473,54,126.870,3.000,1.372,0.729,0.957
41,46,117.587,36.181,49,185,26.627,0.815,10.817,5409,120,-0.855,0,5409,446,66,56.310,6.364,1.763,0.567,0.852
42,11,123.818,20.376,86,147,11.899,0.976,5.000,1362,132,3.116,0,1362,463,62,36.870,3.536,1.450,0.689,0.846
43,1,112.000,0.000,112,112,2.828,1.000,1.414,112,112,332.000,0,112,631,61,135.000,1.000,1.000,1.000,1.000
44,409,92.621,34.518,20,169,129.924,0.304,33.734,37882,89,-0.929,0,37882,39,82,168.024,27.550,1.136,0.880,0.613
45,4,148.750,13.817,130,161,7.071,1.000,3.162,595,157,-77.231,0,595,452,67,161.565,2.000,1.468,0.681,0.800
46,149,103.705,45.928,20,179,59.012,0.538,23.345,15452.000,109,-1.095,0,15452.000,475,68,170.134,11.738,2.227,0.449,0.797
47,5,132.400,6.877,124,140,7.657,1.000,3.606,662,133,-1.549,0,662,440,68,146.310,2.000,1.553,0.644,0.909
48,59,120.305,21.746,72,171,34.142,0.636,14.318,7098,121,0.072,0,7098,637,82,77.905,6.000,2.706,0.370,0.868
49,3,124.333,14.572,108,136,5.657,1.000,2.828,373,129,-1.500,0,373,206,70,135.000,2.000,1.464,0.683,0.857
50,135,96.215,46.850,14,183,50.042,0.677,21.095,12989,95,-1.272,0,12989,442,82,31.430,10.914,1.984,0.504,0.854
51,157,98.134,47.457,14,181,59.355,0.560,19.416,15407,95,-1.230,0,15407,463,88,55.491,14.747,1.555,0.643,0.746
52,3,148.667,17.616,138,169,5.657,1.000,2.828,446,139,-1.500,0,446,304,72,135.000,2.000,1.464,0.683,0.857
53,18,96.500,28.229,45,135,15.899,0.895,7.071,1737,106,-0.630,0,1737,356,72,135.000,4.472,1.584,0.631,0.878
54,7,124.143,15.475,109,154,10.485,0.800,4.472,869,121,-0.073,0,869,74,77,63.435,2.828,1.668,0.600,0.778
