index, area, mean, min, max
507,41,255,255,255
508,54,255,255,255
509,42,255,255,255
510,43,255,255,255
511,54,255,255,255
512,40,255,255,255
513,47,255,255,255
514,47,255,255,255
515,38,255,255,255
516,53,255,255,255
517,50,255,255,255
518,40,255,255,255
519,54,255,255,255
520,52,255,255,255
521,41,255,255,255
522,33,255,255,255
523,43,255,255,255
524,53,255,255,255
525,43,255,255,255
526,42,255,255,255
527,31,255,255,255
528,32,255,255,255
529,47,255,255,255
530,42,255,255,255
531,30,255,255,255
532,39,255,255,255
533,31,255,255,255
534,46,255,255,255
535,34,255,255,255
536,42,255,255,255
537,31,255,255,255
538,42,255,255,255
539,39,255,255,255
540,32,255,255,255
541,39,255,255,255
542,44,255,255,255
543,30,255,255,255
544,41,255,255,255
545,33,255,255,255
546,31,255,255,255
547,43,255,255,255
548,33,255,255,255
549,41,255,255,255
550,30,255,255,255
551,39,255,255,255
552,42,255,255,255
553,29,255,255,255
554,31,255,255,255
555,53,255,255,255
556,56,255,255,255
557,38,255,255,255
558,39,255,255,255
559,54,255,255,255
560,40,255,255,255
561,49,255,255,255
562,37,255,255,255
563,39,255,255,255
564,50,255,255,255
565,43,255,255,255
566,46,255,255,255
567,53,255,255,255
568,54,255,255,255
569,37,255,255,255
570,49,255,255,255
571,46,255,255,255
572,41,255,255,255
573,51,255,255,255
574,40,255,255,255
575,50,255,255,255
576,42,255,255,255
577,53,255,255,255
578,38,255,255,255
579,50,255,255,255
580,51,255,255,255
581,45,255,255,255
582,54,255,255,255
583,38,255,255,255
584,41,255,255,255
585,41,255,255,255
586,31,255,255,255
587,29,255,255,255
588,38,255,255,255
589,29,255,255,255
590,39,255,255,255
591,30,255,255,255
592,40,255,255,255
593,36,255,255,255
594,30,255,255,255
595,37,255,255,255
596,27,255,255,255
597,36,255,255,255
598,32,255,255,255
599,40,255,255,255
600,42,255,255,255
601,31,255,255,255
602,41,255,255,255
603,37,255,255,255
604,39,255,255,255
605,40,255,255,255
606,31,255,255,255
607,35,255,255,255
608,44,255,255,255
609,42,255,255,255
610,32,255,255,255
611,37,255,255,255
612,39,255,255,255
613,32,255,255,255
614,41,255,255,255
615,36,255,255,255
616,38,255,255,255
617,51,255,255,255
618,36,255,255,255
619,55,255,255,255
620,49,255,255,255
621,40,255,255,255
622,54,255,255,255
623,50,255,255,255
624,38,255,255,255
625,52,255,255,255
626,39,255,255,255
627,50,255,255,255
628,40,255,255,255
629,52,255,255,255
630,39,255,255,255
631,52,255,255,255
632,47,255,255,255
633,54,255,255,255
634,52,255,255,255
635,40,255,255,255
636,53,255,255,255
637,55,255,255,255
638,40,255,255,255
639,52,255,255,255
640,39,255,255,255
641,45,255,255,255
642,47,255,255,255
643,52,255,255,255
644,36,255,255,255
645,52,255,255,255
646,53,255,255,255
647,38,255,255,255
648,33,255,255,255
649,52,255,255,255
650,43,255,255,255
651,55,255,255,255
652,40,255,255,255
653,39,255,255,255
654,55,255,255,255
655,40,255,255,255
656,51,255,255,255
657,54,255,255,255
658,54,255,255,255
659,37,255,255,255
660,52,255,255,255
661,46,255,255,255
662,55,255,255,255
663,42,255,255,255
664,55,255,255,255
665,40,255,255,255
666,44,255,255,255
667,50,255,255,255
668,38,255,255,255
669,41,255,255,255
670,49,255,255,255
671,42,255,255,255
672,51,255,255,255
673,48,255,255,255
674,45,255,255,255
675,40,255,255,255
676,29,255,255,255
677,26,255,255,255
678,43,255,255,255
679,30,255,255,255
680,41,255,255,255
681,33,255,255,255
682,42,255,255,255
683,42,255,255,255
684,33,255,255,255
685,44,255,255,255
686,28,255,255,255
687,41,255,255,255
688,30,255,255,255
689,38,255,255,255
690,32,255,255,255
691,45,255,255,255
692,31,255,255,255
693,40,255,255,255
694,40,255,255,255
695,28,255,255,255
696,39,255,255,255
697,39,255,255,255
698,46,255,255,255
699,40,255,255,255
700,31,255,255,255
701,41,255,255,255
702,33,255,255,255
703,41,255,255,255
704,32,255,255,255
705,43,255,255,255
706,36,255,255,255
707,52,255,255,255
708,43,255,255,255
709,54,255,255,255
710,53,255,255,255
711,43,255,255,255
712,53,255,255,255
713,52,255,255,255
714,40,255,255,255
715,42,255,255,255
716,51,255,255,255
717,42,255,255,255
718,50,255,255,255
719,53,255,255,255
720,39,255,255,255
721,46,255,255,255
722,45,255,255,255
723,44,255,255,255
724,54,255,255,255
725,52,255,255,255
726,42,255,255,255
727,54,255,255,255
728,54,255,255,255
729,40,255,255,255
730,52,255,255,255
731,53,255,255,255
732,43,255,255,255
733,50,255,255,255
734,37,255,255,255
735,46,255,255,255
736,42,255,255,255
737,31,255,255,255
738,22,255,255,255
739,40,255,255,255
740,29,255,255,255
741,40,255,255,255
742,34,255,255,255
743,46,255,255,255
744,36,255,255,255
745,43,255,255,255
746,31,255,255,255
747,42,255,255,255
748,33,255,255,255
749,48,255,255,255
750,41,255,255,255
751,33,255,255,255
752,39,255,255,255
753,47,255,255,255
754,31,255,255,255
755,44,255,255,255
756,43,255,255,255
757,32,255,255,255
758,41,255,255,255
759,33,255,255,255
760,38,255,255,255
761,42,255,255,255
762,33,255,255,255
763,40,255,255,255
764,40,255,255,255
765,28,255,255,255
766,41,255,255,255
767,58,255,255,255
768,53,255,255,255
769,44,255,255,255
770,56,255,255,255
771,54,255,255,255
772,43,255,255,255
773,57,255,255,255
774,51,255,255,255
775,42,255,255,255
776,59,255,255,255
777,42,255,255,255
778,41,255,255,255
779,53,255,255,255
780,57,255,255,255
781,41,255,255,255
782,47,255,255,255
783,56,255,255,255
784,43,255,255,255
785,50,255,255,255
786,50,255,255,255
787,46,255,255,255
788,53,255,255,255
789,39,255,255,255
790,41,255,255,255
791,56,255,255,255
792,42,255,255,255
793,55,255,255,255
794,52,255,255,255
795,58,255,255,255
796,45,255,255,255
797,30,255,255,255
798,55,255,255,255
799,42,255,255,255
800,59,255,255,255
801,45,255,255,255
802,59,255,255,255
803,50,255,255,255
804,43,255,255,255
805,51,255,255,255
806,37,255,255,255
807,46,255,255,255
808,36,255,255,255
809,47,255,255,255
810,36,255,255,255
811,32,255,255,255
812,28,255,255,255
813,34,255,255,255
814,30,255,255,255
815,29,255,255,255
816,23,255,255,255
817,30,255,255,255
818,18,255,255,255
819,16,255,255,255
820,22,255,255,255
821,22,255,255,255
822,16,255,255,255
823,12,255,255,255
824,11,255,255,255
