micros,adc0,adc1
50000000,5.0000000000,0.0097751703
60000000,5.0000000000,0.3910068321
70000000,5.0000000000,0.9237536430
80000000,5.0000000000,1.4565005302
90000000,5.0000000000,2.0087976455
100000000,5.0000000000,2.5806450843
110000000,5.0000000000,3.1085042953
120000000,5.0000000000,3.6803519725
130000000,5.0000000000,4.3352885246
140000000,5.0000000000,4.8631477355
150000000,5.0000000000,5.0000000000
160000000,5.0000000000,4.8338222503
170000000,5.0000000000,4.2864127159
180000000,5.0000000000,3.7243402004
190000000,5.0000000000,3.1378300189
200000000,5.0000000000,2.5415444374
210000000,5.0000000000,2.0136852264
220000000,5.0000000000,1.5102639198
230000000,5.0000000000,0.9481915473
240000000,5.0000000000,0.3910068321
250000000,5.0000000000,0.0000000000
