micros,adc0,adc1
70000000,5.0000000000,0.0048875851
80000000,5.0000000000,0.3421309947
90000000,5.0000000000,0.8699902534
100000000,5.0000000000,1.4369501113
110000000,5.0000000000,1.9892473220
120000000,5.0000000000,2.5610947608
130000000,5.0000000000,3.0889539718
140000000,5.0000000000,3.7047898769
150000000,5.0000000000,4.2326488494
160000000,5.0000000000,4.7996091842
170000000,5.0000000000,5.0000000000
180000000,5.0000000000,4.8093843460
190000000,5.0000000000,4.2619748115
200000000,5.0000000000,3.6999022960
210000000,5.0000000000,3.1182794570
220000000,5.0000000000,2.6197457313
230000000,5.0000000000,2.0185728073
240000000,5.0000000000,1.4222873687
250000000,5.0000000000,0.9042033195
260000000,5.0000000000,0.3128054618
270000000,5.0000000000,0.0000000000
