micros,adc0,adc1
140000000,5.0000000000,0.0000000000
150000000,4.9951124191,0.3616813421
160000000,5.0000000000,0.9481915473
170000000,5.0000000000,1.4565005302
180000000,5.0000000000,2.0185728073
190000000,5.0000000000,2.5317692756
200000000,5.0000000000,3.1378300189
210000000,5.0000000000,3.6999022960
220000000,0.0000000000,4.2130985260
230000000,0.0000000000,4.7409577369
240000000,2.1652004718,5.0000000000
250000000,0.0000000000,4.7556209564
260000000,5.0000000000,4.2473115921
270000000,5.0000000000,3.6705768108
280000000,5.0000000000,3.1182794570
290000000,5.0000000000,2.5513195991
300000000,5.0000000000,2.0332355499
310000000,5.0000000000,1.4320625305
320000000,5.0000000000,0.8846529960
330000000,5.0000000000,0.3274682044
340000000,5.0000000000,0.0000000000
